id_branch|name|dir
79812|Хроники Непобедимого Бахамута|undefeated-bahamut-chronicle
80060|Как я стал рабом кошкодевочки|you-are-my-servant
9856|Мастер демонического клинка из академии «Святого Меча»|demons-sword-master-of-excalibur-school
82008|Эфемерная Кагари идёт в атаку|the-fairytalelike-you-goes-on-the-assault
82030|Кошачий рай|cats-paradise
10116|Песнь ночных бродяг|song-of-the-night-walkers
10160|Тоннура-сан|tonnurasan
10211|Мачеха и ее подруги!|
10341|Великие помыслы Оды Нобуны|the-ambition-of-oda-nobuna
10415|Вперёд, Няруко-сан!|haiyore-nyarukosan
983|Не издевайся, Нагаторо-сан|
88521|Эльфийская песнь|
88566|Схизантус|schizanthus
997|Тринити: Семеро магов|trinity_seven_7nin_no_mahoutsukai
89522|Рёв|bakuon
90037|Некий научный Ментал Аут|a-certain-scientific-mental-out
90563|Путь Домохозяина Руководство гангстера по ведению домашнего хозяйства|
90881|Ответная игра Сам И|sam-plays-the-game
11023|Старшая школа DxD|high-school-dxd
20391|Легенда о северном клинке|
1037|Клинок зла|
63|Игра Дарвина|darwins_game
11272|Выжить в качестве горничной|surviving-as-a-maid
11351|Связанные|kiznaiver
95108|Призрак в доспехах|koukaku-kidoutai-doujinshi---
11756|Мастер меча, живущий на крыше|
99564|Книга мёртвых|
99598|Друзья по учёбе!|
99780|Пансионат Сенс|
99805|Перерождение Авалона|final-boss-girl-akari-going-to-the-present-to-meet-someone-stronger-than-me
99842|Любовь за решеткой|
99857|Я попал в тело неудачливого NPC|
100099|Однажды в сказке|
100322|Услуги девочки-волшебницы|
100544|Куроко-сан из мира мёртвых|
100606|Гипнотизирующий охранник|
101078|Я превратился в девочку-волшебницу|magical-girl-mister
12130|Друзья детства|
1125|Свет и тень|
72|Унеси меня на Луну|tonikaku_cawaii
103967|Легенда о змеином логове|
1145|Неразумный ангел в пляске с демонами|the_foolish_angel_dances_with_demons
12477|Я стану хозяйкой этой жизни|in-this-life-ill-become-the-head-of-the-family
1212|Легенда о Коидзуми|the-legend-of-koizumi
1219|Клуб свиданий старшей школы Оран|
