id;name;dir
100295;Хроники Непобедимого Бахамута;undefeated-bahamut-chronicle
100543;Как я стал рабом кошкодевочки;you-are-my-servant
10066;Мастер демонического клинка из академии «Святого Меча»;demons-sword-master-of-excalibur-school
102418;Обычный роман в Коулуне;
102491;Эфемерная Кагари идёт в атаку;the-fairytalelike-you-goes-on-the-assault
102513;Кошачий рай;cats-paradise
10318;Песнь ночных бродяг;song-of-the-night-walkers
10361;Загугли это! Коккури-сан;
10362;Тоннура-сан;tonnurasan
10411;Мачеха и ее подруги!;
10536;Великие помыслы Оды Нобуны;the-ambition-of-oda-nobuna
10538;Одиночество на двоих;yosuga-no-sora
10605;Вперёд, Няруко-сан!;haiyore-nyarukosan
10721;Кулинарные битвы Сомы;shokugeki-no-soma
10784;Смерть — единственный конец для злодейки;
1079;Не издевайся, Нагаторо-сан;
109004;Эльфийская песнь;
109049;Схизантус;schizanthus
1094;Тринити: Семеро магов;trinity_seven_7nin_no_mahoutsukai
110005;Рёв;bakuon
110520;Некий научный Ментал Аут;a-certain-scientific-mental-out
11080;Мои девушки;twotiming-fair-and-square
111046;Путь Домохозяина Руководство гангстера по ведению домашнего хозяйства;
111152;Разврат в подземелье;
111371;Ответная игра Сам И;sam-plays-the-game
111448;Одного мужа достаточно;one-husband-is-enough
111756;Пустоцвет;adabana-
11195;Старшая школа DxD;high-school-dxd
112038;Сильнейший в повседневной жизни;
112218;Истории Монстров;
113125;Тетрадь смерти;
11327;Легенда о северном клинке;
1134;Месть Масамунэ;masamunes_revenge
1136;Клинок зла;
114;Игра Дарвина;darwins_game
1144;Говорю же, у меня не встает!;so_i_cant_be_h
11448;Выжить в качестве горничной;surviving-as-a-maid
114885;Сила тысячи;ikkitousen--
11525;Связанные;kiznaiver
115450;100 девушек, которые очень-очень-очень-очень-очень сильно любят тебя;kimi-no-koto-ga-daidaidaidaidai-suki-na-100nin-no-kanojo-100------
115605;Призрак в доспехах;koukaku-kidoutai-doujinshi---
115837;Топить в вине бушующее пламя грусти;lie-huo-jiao-chou------
11612;Доктор для девушек-монстров;monster-girl-doctor
1162;Ангельские Ритмы! Небесные Врата;angel_beats_heavens_door
118651;Благие знамения dj - Oopsie!omens;good-omens-dj--oopsieomens
1191;Пожиратель Богов: Летние войны;god_eater__the_summer_wars
11917;Мастер меча, живущий на крыше;
120062;Книга мёртвых;
120096;Друзья по учёбе!;
120278;Пансионат Сенс;
120303;Перерождение Авалона;final-boss-girl-akari-going-to-the-present-to-meet-someone-stronger-than-me
120340;Любовь за решеткой;
120355;Я попал в тело неудачливого NPC;
120597;Однажды в сказке;
120820;Услуги девочки-волшебницы;
121041;Моя сестра лучше всех;
121042;Куроко-сан из мира мёртвых;
121105;Гипнотизирующий охранник;
121127;Школьный дьявол;koakuma-kyoushi-psycho
121288;Парень и его отношения с призраком;
121576;Я превратился в девочку-волшебницу;magical-girl-mister
122158;Теневой раб;
122434;ПОВ Автора;
122440;Мои три жены - прекрасные вампиры;
12273;Друзья детства;
1228;Свет и тень;
123453;Записки расхитителя гробниц;
124;Унеси меня на Луну;tonikaku_cawaii
124476;Легенда о змеином логове;
1248;Неразумный ангел в пляске с демонами;the_foolish_angel_dances_with_demons
12591;Я стану хозяйкой этой жизни;in-this-life-ill-become-the-head-of-the-family
127213;Стать любимой собачкой;
12818;Нелепая сверхсила;god-gave-me-this-awkward-superpower-what-is-it-for
12993;Последний экзорцист;
1317;Легенда о Коидзуми;the-legend-of-koizumi
1324;Клуб свиданий старшей школы Оран;
137442;Эхо террора;
1375;Свидание с Духом;date-a-live
13783;Волк и найдёныш;the-wolf-that-picked-something-up
13820;Вермейл в золотом - Сильнейший маг проходит через магический мир с сильнейшей катастрофой;vermeil-in-gold--a-magician-pushes-through-the-magical-world-with-the-strongest-disaster
1388;Любовные неприятности;to-loveru
1389;Почему вы здесь, сэнсэй?!;why-are-you-here-sensei
139;Гордость убийцы;assassins_pride
14168;Я перевоплотился в 7-го принца, так что я буду совершенствовать свою магию, как захочу;was-reincarnated-as-the-7th-prince-so-i-will-perfect-my-magic-as-i-please
142683;Щупальца, превратившись в монстра, стали ещё безумнее!;
142857;Жизнь на два дома;
142976;Сказание о пушистых дамах;
143061;План по обмену милфами;
143071;Перерождение в мире, где только я вижу настоящих красавиц;
143078;Девушка днём, парень ночью;
14320;Распятие Шести;juujika-no-rokunin
143234;Перерождение в ненавистного персонажа в лилийной игре;
143268;Токийские Мстители: Цветная версия;
143355;Хозяйка Джиу;
143430;Месть Аристократа;
143458;Служба социальных сетей;
143510;Благословление небожителей;
143684;Повторное тестирование;
143868;Сегодня я буду девушкой;
143965;Звериный беспредел;
144266;Любовь одинокого грузовика;lonely-lorry-love
144445;Адская качалка;im-a-millionview-exercise-youtuber-but-in-this-webtoon-im-a-loser-with-no-superpowers-subtitle-thats-how-it-was-originally
144661;Вайолет Эвергарден (Новелла);
14621;Буду назло качаться;i-will-swing-out-of-spite
146301;Чудачество любви не помеха;
147095;Перевоплотившийся король-герой, ставший самой сильной ученицей рыцаря (Новелла);
14724;Пожалуйста, иди домой, Акацу-сан!;please-go-home-akutsusan
148364;Даже если попадешь в историю о призраках, всё равно придётся идти на работу;
14878;Когда злодейка полюбила;the-moment-the-villainess-fell-in-love
1503;Джульетта из школы-интерната;juliet-of-boarding-school
150321;Истории мечей (Новелла);
150851;Ворона в гареме (Новелла);
150887;Стань светом в темном море (Новелла);
150906;Конец десяти дней;
152632;Туториал Адской Сложности (Новелла);
153021;Добродетель злодейки (Новелла);
153615;Я стала главной в жестокой тюрьме;became-a-deceased-in-a-waste-cell
154458;Трахнуть и спасти другой мир;
1548;Крутой учитель Онидзука;great-teacher-onizuka
1549;Аниме Сага о Винланде;
1553;Ранма 1/2;
1567;5 сантиметров в секунду;
1570;Грабитель;plunderer
1576;Небо и земля;
15891;2.5D Соблазн;
159;Бездомный Бог;
15913;Дядя из другого мира;isekai-uncle
1654;Игра друзей;friends-games
16570;Проект воспитания девочек-волшебниц;
1660;Невеста герцога по контракту;
16703;Деятельность Бога в мире без богов;spreading-faith-in-a-godless-world
16826;К добру или к худу;luckily-or-unlucky
1699;Санка Рэа;sankarea
1709;Сладкая жизнь;
1716;Смесь - С;blends
17189;Тридцатилетняя ведьма;
1775;Эроманга-сенсей;
1786;Человек-бензопила;chainsaw-man
17868;Для того, чтобы помочь тебе понять;
1813;Намбака;the-numbers
1814;Ёрмунганд;jormungand
18347;Везучий парень;
1837;Тетрадь дружбы Нацумэ;
1842;Инуяша;inuyasha
1862;Секрет дворецкого!;
18646;Бездарная Нана;munou-no-nana
18836;Изгой из старшей школы;
18956;Пустоцвет;adabana
18996;Создатель злодейки;
19580;Тетрадь по трусикам;
19652;Убить злодейку;
1982;Магия Вернувшегося должна быть особенной;
1983;Однажды я стала принцессой;
2012;Джахи-сама не Будет Отчаиваться!;jahysama-wont-be-discouraged
208;Четыре рыцаря;
2114;Дракон-горничная Кобаяси-сан: Повседневность Канны;
2118;Дюрарара!!;durarara
2280;Я стал Повелителем Демонов и создал подземелье, чтобы проводить время с девушками-монстрами;i-became-the-demon-lord-so-i-created-a-dungeon-and-spend-heartwarming-time-there-with-nonhuman-girls
2285;Круши Кромсай;kill-la-kill
2340;Тирания вооруженных девушек;--
238;Токийский гуль;
242;Re:Zero. Жизнь с нуля в альтернативном мире — Глава третья. Правда «отката»;re_zero_kara_hajimeru_isekai_seikatsu_daisanshou_truth_of_zero
2444;Я требую яоя!;
2470;Доблесть рыцаря-неудачника;chivalry-of-a-failed-knight
2537;Узаки-тян хочет тусоваться!;uzakichan-wants-to-hang-out
255;Проблемные дети из другого мира? Z;problem_children_are_coming_from_another_world_arent_they_z
